壮族	15489630	广西壮族自治区、云南省文山壮族苗族自治州。
满族	9821180	分布在全国各地、以居住在辽宁省的为最多。
回族	8602978	宁夏回族自治区，在甘肃、青海以及河南、河北、山东、云南等省份分布也较多，有大小不等的聚居区。
苗族	7398035	贵州、湖南、云南、四川、广西、湖北、广东等省区。在黔东南和湘鄂川黔的交界地带（以湘西为主），有较大的聚居区。
维吾尔族	7214431	新疆维吾尔自治区，大多聚居在天山以南的各个绿洲。
彝族	6572173	云南、四川、贵州、广西四省区。
土家族	5704223	湖南省西部的永顺、龙山、保靖、桑植、古丈等县，湖北省西部的来凤、鹤峰、咸丰、宣恩、利川、恩施、巴东、建始、五锋、长阳等县，四川省的酉阳、秀山、黔江、石柱、彭水等县。
蒙古族	4806849	内蒙古自治区和新疆、青海、甘肃、黑龙江、吉林、辽宁等省区的蒙古族自治州、县。
藏族	4593330	西藏自治区，以及青海省的海北、黄南、海南、果洛。玉树等藏族自治州和海西蒙古族藏族自治州、甘肃省的甘南藏族自治州和天祝藏族自治县，四川省的阿坝、甘孜两个藏族自治州和水里藏族自治县，云南省迪庆藏族自治州。布依族2545059黔南、黔西南两个布依族苗族自治州及安顺地区和贵阳市。
侗族	2514014	贵州省的黎平、从江、榕江、天柱、锦屏、三穗、镇运。剑河、玉屏，湖南省的新晃、靖县、通道，广西壮族自治区的三江、龙胜、融水等县。
瑶族	2134013	广西壮族自治区及湖南、云南、广东、贵州等省。
朝鲜族	1920597	吉林省延边朝鲜族自治州。
白族	1594827	云南省大理白族自治州。
哈尼族	1253952	云南省西南部礼江下游红河西侧哀牢山区新平、镇源。墨江、元江、红河、元阳、绿春、金平、江城等县。
哈萨克族	1111718	新疆维吾尔自治区伊犁哈萨克自治州、木垒哈萨克自治县和巴里坤哈萨克自治县。
黎族	1110900	广东省海南黎族苗族自治州。
傣族	1025128	云南省西双版纳傣族自治州、德宏傣族景颇族自治州以及耿马和勐连两个自治县。
畲族	630378	福建、浙江、江西、广东、安徽五省80多个县（市）的部分山区。其中福建、浙江两省最多。
傈僳族	574856	云南省怒江傈僳族自治州以及丽江和迪庆、大理、保山。德宏、楚雄、临沧等州县。
仡佬族	437997	贵州省的织金、黔西、六枝、关岭、普定、大方、清镇。仁怀、水城、安顺、遵义、平坝、金沙、兴仁等县。
拉枯族	400476	云南省澜沧县、勐连县。
高山族	400000	台湾省台湾本岛的山地、平原以及岛屿。大陆人口是2909人，散居各地。
东乡族	373872	甘肃省临夏回族自治州境内洮河以西，大夏河以东和黄河以南的山麓地带，其中半数以上聚居在东乡族自治县，其余分别聚居在政县和临夏县。
侗族	351974	云南省西盟、沧源、孟连三县以及耿马、澜沧、双江、镇康、永德、昌宁、勐海等县也有分布。
水族	345993	贵州省三都水族自治县以及荔波、独山、都匀、榕江、从江等县和广西的融安、南丹、环江、河池等地。
纳西族	278009	云南省丽江纳西族自治县，以及维西、中甸、宁蒗、德钦、永胜、鹤庆、剑川、兰坪和四川省的盐源、盐边、水里等县。
羌族	198252	四川省阿坝藏族自治州茂汶羌族自治县以及汉川、理县、黑水、松潘等地。
土族	191624	青海互助土族自治县民和、大通两县。
锡伯族	172847	新疆伊犁哈萨克自治州察布查尔锡伯族自治县和伊犁河流域的霍城、巩留两县。
仫佬族	159328	广西壮族自治区罗城县以及宜山、柳城、都安、忻城等县。
柯尔克孜族	141549	新疆维吾尔族自治区西南部克孜勤苏柯尔克孜自治州。
达斡尔族	121357	内蒙古自治区、黑龙江省和新疆维吾尔自治区的塔城地区。
景颇族	119209	云南省德宏傣族景颇族自治州。
撒拉族	87697	青海省循化撒拉族自治县以及化隆县甘都和甘肃省临夏的大河家。
布朗族	82280	云南省西双版纳傣族自治州励海县的布朗山、西定、巴达，及临沧地区的双江、镇康、云县，耿马和思茅地区的澜沧、景东、景谷、墨江、普洱等县。
毛南族	71968	广西壮族自治区北部的环江、河池、南丹、宜山、都安等县。
塔吉克族	33538	新疆塔什库尔于以及南疆的莎车、泽普、叶城、皮山等地。
普米族	29657	云南省的兰坪、丽江、维西、永胜等县和宁蒗彝族自治县。
阿昌族	27708	云南省德宏傣族景颇族自治州的陇川、梁河、潞西及保山地区的龙陵等县。
怒族	27123	云南省怒江傈僳族自治州的碧江、福贡、贡山三县及兰坪县的菟峨乡。
鄂温克族	26315	内蒙古自治区的七个旗和黑龙江省的纳河县。
京族	18915	广西壮族自治区防城各族自治县江平公社的万尾、巫头、山心三个小岛上。
基诺族	18021	云南省西双版纳傣族自治州景洪县基诺乡。
德昂族	15462	云南省德宏傣族景颇族自治州潞西县三台山和临沧地区镇康县军弄等地。
乌孜别克族	14502	新疆维吾尔自治区的伊宁、塔城、喀什、乌鲁木齐、莎车、叶城等地。
俄罗斯族	13504	新疆维吾尔自治区的伊犁、塔城、阿勒泰、乌鲁木齐。
裕固族	12297	甘肃省甘南裕固族自治县和酒泉市的黄泥堡裕固族乡。
保安族	12212	甘肃省积石山保安族东乡族撒拉族自治县内大河家、刘集一带。
门巴族	7475	西藏自治区的门隅地区。
独龙族	5816	云南省贡山独龙族怒族自治县的独龙河谷里。
塔塔尔族	4873	新疆维吾尔自治区的伊宁、塔城和乌鲁木齐市。
鄂伦春族	4245	内蒙古自治区呼伦贝尔盟鄂伦春自治旗、布特哈旗、莫力达瓦达斡尔族自治旗以及黑龙江省呼玛、逊克、爱辉、嘉阴等县。
赫哲族	4245	黑龙江同江、抚远和铙河等县的沿江地区。
珞巴族	2312	西藏自治区的珞瑜地区及相邻的察隅、墨脱、米林、隆子等县。